time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 22:07:42.460,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,2418000CCCCC00800000000000000000
Oct 29 22:07:42.496,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:42.533,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:42.534,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,2818000007150000038B00FC39590F83
Oct 29 22:07:42.608,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:42.608,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:42.609,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,2C18000055320080000000803B190F00
Oct 29 22:07:42.683,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:42.684,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,3018007F657C00FF9F2E0F805F6B0000
Oct 29 22:07:42.721,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:42.758,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
